circuitId,year,circuitRef,name,location,country,lat,long,url
137,2017,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
138,2017,americas,Circuit of the Americas,Austin,USA,30.1328,,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
139,2017,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
140,2017,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,,http://en.wikipedia.org/wiki/Baku_City_Circuit
141,2017,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
142,2017,hungaroring,Hungaroring,Budapest,Hungary,47.5789,,http://en.wikipedia.org/wiki/Hungaroring
143,2017,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
144,2017,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
145,2017,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,,http://en.wikipedia.org/wiki/Circuit_de_Monaco
146,2017,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
147,2017,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,,http://en.wikipedia.org/wiki/Red_Bull_Ring
148,2017,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
149,2017,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,,http://en.wikipedia.org/wiki/Sepang_International_Circuit
150,2017,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
151,2017,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,,http://en.wikipedia.org/wiki/Silverstone_Circuit
152,2017,sochi,Sochi Autodrom,Sochi,Russia,43.4057,,http://en.wikipedia.org/wiki/Sochi_Autodrom
153,2017,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
154,2017,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,,http://en.wikipedia.org/wiki/Suzuka_Circuit
155,2017,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
156,2017,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
